# 
# QCancer(Lung)-2011 data tables.
# Copyright 2011 ClinRisk Ltd. 
#  
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
# 
# 
sex1,_t,basehaz_death_0_30,basehaz_event_0_30,timeyears
0,.10403833,.0000389,0,0
0,.34223135,.0000274,0,0
0,.38329911,.0000264,0,0
0,.47091034,.0000243,0,0
0,.48733744,.0000239,0,0
0,.76386037,.000019,0,0
0,1.0184805,.0000171,0,1
0,1.0485969,.0000123,0,1
0,1.1252567,.0000119,0,1
0,1.1498973,.0000118,0,1
0,1.1964408,.0000116,0,1
0,1.2183436,.0000115,0,1
0,1.2238193,.0000114,0,1
0,1.3086927,.0000111,0,1
0,1.3278576,.000011,0,1
0,1.3689254,.0000109,0,1
0,1.3853525,.0000108,0,1
0,1.3935661,.0000108,0,1
0,1.5003422,.0000105,0,1
0,1.54141,.0000104,0,1
0,1.5523614,.0000104,0,1
0,1.5715264,.0000103,0,1
0,1.5797399,.0000103,0,1
0,1.596167,.0000205,0,1
0,1.6016427,.0000102,0,1
0,1.6235455,.0000102,0,1
0,1.7166324,9.90e-06,0,1
0,1.7577002,9.78e-06,0,1
0,1.8945927,9.87e-06,0,1
0,1.8973306,9.86e-06,0,1
0,1.9329227,9.78e-06,0,1
0,1.9411362,9.76e-06,0,1
0,1.963039,9.73e-06,0,1
0,1.982204,9.69e-06,0,1
0,2.0479124,9.25e-06,0,2
0,2.1409993,9.25e-06,0,2
0,2.201232,9.26e-06,0,2
0,2.2587269,9.25e-06,0,2
0,2.2669405,9.25e-06,0,2
0,2.2696783,9.26e-06,0,2
0,2.275154,9.28e-06,0,2
0,2.4476386,9.28e-06,0,2
0,2.5270363,9.32e-06,0,2
0,2.5516769,9.32e-06,0,2
0,2.5571526,9.32e-06,0,2
0,2.6228611,9.33e-06,0,2
0,2.661191,9.34e-06,0,2
0,2.696783,9.33e-06,0,2
0,2.7789185,9.73e-06,0,2
0,2.7871321,9.73e-06,0,2
0,2.8610541,9.74e-06,0,2
0,2.9678303,9.76e-06,0,2
0,2.9815195,9.77e-06,0,2
0,2.9897331,9.76e-06,0,2
0,3.0171116,9.76e-06,0,3
0,3.08282,9.37e-06,0,3
0,3.1649555,9.38e-06,0,3
0,3.2197125,9.39e-06,0,3
0,3.2361396,9.39e-06,0,3
0,3.2416153,9.40e-06,0,3
0,3.340178,9.42e-06,0,3
0,3.3429158,9.42e-06,0,3
0,3.3921971,9.41e-06,0,3
0,3.4524298,9.41e-06,0,3
0,3.4825462,9.40e-06,0,3
0,3.5564682,9.44e-06,0,3
0,3.5920602,9.45e-06,0,3
0,3.6714579,.0000189,0,3
0,3.7234771,9.48e-06,0,3
0,3.7590691,9.49e-06,0,3
0,3.8138261,9.90e-06,0,3
0,3.8850103,9.90e-06,0,3
0,3.9096509,9.90e-06,0,3
0,4.0657084,9.53e-06,0,4
0,4.0930869,9.54e-06,0,4
0,4.1040383,9.52e-06,0,4
0,4.1204654,9.53e-06,0,4
0,4.1341547,9.53e-06,0,4
0,4.1368925,.0000191,0,4
0,4.1451061,9.55e-06,0,4
0,4.1806982,9.55e-06,0,4
0,4.183436,9.56e-06,0,4
0,4.1889117,9.56e-06,0,4
0,4.2299795,9.56e-06,0,4
0,4.2409309,9.57e-06,0,4
0,4.2984257,9.60e-06,0,4
0,4.3613963,9.62e-06,0,4
0,4.3887748,9.63e-06,0,4
0,4.4052019,9.64e-06,0,4
0,4.4928131,9.68e-06,0,4
0,4.5475702,9.69e-06,0,4
0,4.5667351,9.70e-06,0,4
0,4.5831622,9.70e-06,0,4
0,4.6406571,9.71e-06,0,4
0,4.7036277,9.72e-06,0,4
0,4.7611225,0,3.66e-06,4
0,4.9226557,.0000101,0,4
0,4.9774127,.0000102,0,4
0,4.9993155,.0000102,0,4
0,5.0239562,9.81e-06,0,5
0,5.045859,9.82e-06,0,5
0,5.1279945,.0000196,0,5
0,5.1690623,9.81e-06,0,5
0,5.2183436,.0000196,0,5
0,5.2210815,9.83e-06,0,5
0,5.2238193,9.81e-06,0,5
0,5.2511978,.0000197,0,5
0,5.284052,9.85e-06,0,5
0,5.3169062,9.86e-06,0,5
0,5.3223819,9.87e-06,0,5
0,5.338809,9.86e-06,0,5
0,5.3716632,9.86e-06,0,5
0,5.3771389,9.87e-06,0,5
0,5.3853525,9.87e-06,0,5
0,5.4510609,9.90e-06,0,5
0,5.5140315,9.93e-06,0,5
0,5.5468857,9.94e-06,0,5
0,5.5687885,9.96e-06,0,5
0,5.5934292,9.95e-06,0,5
0,5.6098563,9.96e-06,0,5
0,5.615332,9.96e-06,0,5
0,5.6481862,9.96e-06,0,5
0,5.7686516,9.97e-06,0,5
0,5.798768,.0000103,0,5
0,5.8699521,.0000104,0,5
0,5.8809035,.0000103,0,5
0,5.9055441,.0000104,0,5
0,5.9329227,.0000104,0,5
0,5.963039,.0000104,0,5
0,5.9685147,.0000104,0,5
0,6.017796,.0000104,0,6
0,6.0479124,.0000101,0,6
0,6.1902806,.0000101,0,6
0,6.2340862,.0000101,0,6
0,6.2614648,.0000101,0,6
0,6.2970568,.0000101,0,6
0,6.2997947,.0000101,0,6
0,6.3162218,.0000101,0,6
0,6.3408624,.0000101,0,6
0,6.3956194,.0000101,0,6
0,6.4120465,.0000101,0,6
0,6.4284736,.0000101,0,6
0,6.4613279,.0000101,0,6
0,6.4722793,.0000101,0,6
0,6.5708419,.0000102,0,6
0,6.5763176,.0000102,0,6
0,6.5790554,.0000102,0,6
0,6.5817933,.0000102,0,6
0,6.5982204,.0000102,0,6
0,6.6009582,.0000102,0,6
0,6.6036961,.0000102,0,6
0,6.6119097,.0000102,0,6
0,6.6392882,.0000102,0,6
0,6.6529774,.0000102,0,6
0,6.6940452,.0000102,0,6
0,6.7077344,.0000102,0,6
0,6.7296372,.0000102,0,6
0,6.7351129,.0000102,0,6
0,6.8528405,.0000106,0,6
0,6.8720055,.0000106,0,6
0,6.8829569,.0000106,0,6
0,6.9130732,.0000106,0,6
0,6.9596167,.0000106,0,6
0,6.9650924,.0000106,0,6
0,6.973306,.0000106,0,6
0,7.0225873,.0000103,0,7
0,7.063655,.0000206,0,7
0,7.1512663,.0000103,0,7
0,7.1622177,.0000103,0,7
0,7.2087611,.0000103,0,7
0,7.2416153,.0000103,0,7
0,7.2689938,.0000103,0,7
0,7.2936345,.0000103,0,7
0,7.3045859,.0000104,0,7
0,7.3100616,.0000103,0,7
0,7.340178,.0000207,0,7
0,7.3620808,.0000104,0,7
0,7.394935,.0000104,0,7
0,7.4113621,.0000104,0,7
0,7.4442163,.0000104,0,7
0,7.449692,0,3.79e-06,7
0,7.4743326,.0000104,0,7
0,7.4770705,.0000104,0,7
0,7.5071869,.0000104,0,7
0,7.5126626,.0000104,0,7
0,7.5318275,.0000104,0,7
0,7.5427789,.0000104,0,7
0,7.5509925,.0000104,0,7
0,7.5975359,.0000104,0,7
0,7.6030116,.0000104,0,7
0,7.6057495,.0000104,0,7
0,7.6249144,.0000104,0,7
0,7.6276523,.0000104,0,7
0,7.6440794,.0000104,0,7
0,7.6495551,.0000104,0,7
0,7.687885,.0000105,0,7
0,7.7234771,.0000209,0,7
0,7.7371663,.0000105,0,7
0,7.7919233,.0000108,0,7
0,7.7946612,.0000108,0,7
0,7.797399,.0000108,0,7
0,7.8001369,.0000108,0,7
0,7.8028747,.0000108,0,7
0,7.8138261,.0000108,0,7
0,7.816564,.0000108,0,7
0,7.8412047,.0000108,0,7
0,7.8439425,.0000108,0,7
0,7.8959617,.0000108,0,7
0,7.9206023,.0000108,0,7
0,7.926078,.0000108,0,7
0,7.9425051,.0000108,0,7
0,7.9616701,.0000108,0,7
0,7.9890486,.0000109,0,7
0,8.0876112,.0000107,0,8
0,8.1232033,.0000106,0,8
0,8.128679,.0000107,0,8
0,8.1533196,.0000107,0,8
0,8.1615332,.0000107,0,8
0,8.183436,.0000107,0,8
0,8.1971253,.0000107,0,8
0,8.2655715,.0000107,0,8
